["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",4.38066e-13)
(23, 3)
1.9156067603833866e+14 7.2983646639693889e-03 1.0280956702900172e+00
1.9177978138674853e+14 7.4433868383000246e-03 1.0346962132296718e+00
1.9199888673515838e+14 7.6136780167561143e-03 1.0758072974101629e+00
1.9221799208356825e+14 7.9535282303484240e-03 1.1299617736703771e+00
1.9243709743197812e+14 8.4946603095513544e-03 1.1710552823370326e+00
1.9265620278038797e+14 9.1417849167840497e-03 1.1821341870809072e+00
1.9287530812879784e+14 9.7304935980283159e-03 1.1610073987570493e+00
1.9309441347720772e+14 1.0098076360343006e-02 1.1158688852483449e+00
1.9331351882561756e+14 1.0130040379099864e-02 1.0600998093882601e+00
1.9353262417402744e+14 9.7874534109413207e-03 1.0105539005288708e+00
1.9373235434948506e+14 9.1982173472224746e-03 9.8865820339018717e-01
1.9375172952243731e+14 9.1314745476053609e-03 9.8845051411473417e-01
1.9377110469538956e+14 9.0636863195793001e-03 9.8865820339018717e-01
1.9397083487084716e+14 8.3555723164027342e-03 1.0191715676731019e+00
1.9418994021925703e+14 7.8065034531073565e-03 1.1202674298606805e+00
1.9440904556766688e+14 7.8841281994008368e-03 1.2670130091186620e+00
1.9462815091607675e+14 8.7340678757563406e-03 1.3858088886259017e+00
1.9484725626448662e+14 1.0094748410738576e-02 1.4256462088154258e+00
1.9506636161289647e+14 1.1532944574536913e-02 1.3885592550543269e+00
1.9528546696130634e+14 1.2663363952702905e-02 1.2953288344739171e+00
1.9550457230971622e+14 1.3207790807269354e-02 1.1632398538979460e+00
1.9572367765812606e+14 1.3001963988649050e-02 1.0022090588327182e+00
1.9594278300653594e+14 1.1999931165846597e-02 8.1520888613649523e-01
("port 1","mode 1",1,"port 2",1,"transmission",4.2852673239631135e-13)
(23, 3)
1.9156067603833866e+14 9.4897611189235931e-01 -4.1301329070084958e-01
1.9177978138674853e+14 9.4919344064811395e-01 -4.1239145328193039e-01
1.9199888673515838e+14 9.4940367150978122e-01 -4.1182865374779859e-01
1.9221799208356825e+14 9.4960899445971136e-01 -4.1132593689005514e-01
1.9243709743197812e+14 9.4981099556458470e-01 -4.1088391774421479e-01
1.9265620278038797e+14 9.5001029438073237e-01 -4.1050345450035441e-01
1.9287530812879784e+14 9.5020685142703798e-01 -4.1018632858296161e-01
1.9309441347720772e+14 9.5040074792634111e-01 -4.0993537016773479e-01
1.9331351882561756e+14 9.5059287498522682e-01 -4.0975381894115526e-01
1.9353262417402744e+14 9.5078498093253871e-01 -4.0964424973832364e-01
1.9373235434948506e+14 9.5096167752443328e-01 -4.0960803635481213e-01
1.9375172952243731e+14 9.5097893728296767e-01 -4.0960775191483795e-01
1.9377110469538956e+14 9.5099621970484427e-01 -4.0960803635481208e-01
1.9397083487084716e+14 9.5117563950283934e-01 -4.0964395792067826e-01
1.9418994021925703e+14 9.5137428003141233e-01 -4.0975199253601974e-01
1.9440904556766688e+14 9.5157257044199872e-01 -4.0993178294443489e-01
1.9462815091607675e+14 9.5176791109079872e-01 -4.1018485676612454e-01
1.9484725626448662e+14 9.5195886567153687e-01 -4.1051400519486186e-01
1.9506636161289647e+14 9.5214602361647949e-01 -4.1092188534575413e-01
1.9528546696130634e+14 9.5233164351581667e-01 -4.1140935287120101e-01
1.9550457230971622e+14 9.5251821006018500e-01 -4.1197457795732445e-01
1.9572367765812606e+14 9.5270675238435099e-01 -4.1261359566565159e-01
1.9594278300653594e+14 9.5289599336513930e-01 -4.1332208795094799e-01
("port 1","mode 1",1,"port 3",1,"transmission",4.1945641330260663e-13)
(23, 3)
1.9156067603833866e+14 1.3865923295235017e-03 4.2268968040670110e-02
1.9177978138674853e+14 1.4277665014983724e-03 4.7751308215504620e-02
1.9199888673515838e+14 1.4624414663281043e-03 4.4639744508819114e-02
1.9221799208356825e+14 1.4994572109100102e-03 3.4904129866732816e-02
1.9243709743197812e+14 1.5466360473601008e-03 2.0431700199331455e-02
1.9265620278038797e+14 1.6093477400436543e-03 3.1549618481106537e-03
1.9287530812879784e+14 1.6894405347751362e-03 -1.4951273506310567e-02
1.9309441347720772e+14 1.7847287727284675e-03 -3.1961187295680912e-02
1.9331351882561756e+14 1.8891370074988903e-03 -4.6086566818268442e-02
1.9353262417402744e+14 1.9934905637084208e-03 -5.5692609996621976e-02
1.9373235434948506e+14 2.0793147119610310e-03 -5.9206738290406062e-02
1.9375172952243731e+14 2.0868341766518686e-03 -5.9236460868163754e-02
1.9377110469538956e+14 2.0941797565191371e-03 -5.9206738290406048e-02
1.9397083487084716e+14 2.1580719730301613e-03 -5.5170229468409299e-02
1.9418994021925703e+14 2.1976634520110222e-03 -4.1854857490168262e-02
1.9440904556766688e+14 2.1990851645631716e-03 -1.7516087674937529e-02
1.9462815091607675e+14 2.1597787670040026e-03 1.9738507893103933e-02
