["port 1","LEFT"]
["port 2","RIGHT"]
["port 3","LEFT"]
["port 4","RIGHT"]
("port 1","mode 1",1,"port 1",1,"transmission",9.24413e-13)
(23, 3)
1.9156067603833866e+14 2.9564409518767305e-03 -1.2942105811235709e+00
1.9177978138674853e+14 4.5149050618565360e-03 -1.6115158474040598e+00
1.9199888673515838e+14 5.1030481126803154e-03 -1.6715676774591421e+00
1.9221799208356825e+14 5.8571149731209702e-03 -1.5685835602461684e+00
1.9243709743197812e+14 7.3702514575987553e-03 -1.5924960989395232e+00
1.9265620278038797e+14 8.4270581231379715e-03 -1.8418900337069017e+00
1.9287530812879784e+14 8.1185654266314744e-03 -2.2579004767120576e+00
1.9309441347720772e+14 6.7487414553270954e-03 -2.7811120558172111e+00
1.9331351882561756e+14 5.1003153924706352e-03 -3.2589218347095530e+00
1.9353262417402744e+14 4.0141107048275258e-03 -3.2987656796458142e+00
1.9373235434948506e+14 5.6564260057324015e-03 -3.0642857698128139e+00
1.9375172952243731e+14 5.9723268031612563e-03 -3.0621558494301246e+00
1.9377110469538956e+14 6.3067738025713062e-03 -3.0642857698128139e+00
1.9397083487084716e+14 1.0249837204395144e-02 -3.2594863391755018e+00
1.9418994021925703e+14 1.3742865514908715e-02 -3.6475515652528521e+00
1.9440904556766688e+14 1.4378918545716459e-02 -4.1038279188781477e+00
1.9462815091607675e+14 1.1663324344130213e-02 -4.6033079956324574e+00
1.9484725626448662e+14 6.7944086013793665e-03 -5.1352326241582915e+00
1.9506636161289647e+14 1.8467281063953148e-03 -5.4554170439391152e+00
1.9528546696130634e+14 2.7680328369615119e-03 -3.9573543123585648e+00
1.9550457230971622e+14 6.4479490693067762e-03 -4.6106739107916592e+00
1.9572367765812606e+14 9.8971719824174995e-03 -5.3138211186659925e+00
1.9594278300653594e+14 1.1749286635431941e-02 -5.9427139960037145e+00
("port 1","mode 1",1,"port 2",1,"transmission",7.3755079885727228e-13)
(23, 3)
1.9156067603833866e+14 7.1485650260663680e-01 1.0686761393998274e+00
1.9177978138674853e+14 7.1335058754512426e-01 1.0695257689585445e+00
1.9199888673515838e+14 7.1191716736626320e-01 1.0702960295054449e+00
1.9221799208356825e+14 7.1055700096718499e-01 1.0710064249632698e+00
1.9243709743197812e+14 7.0926083532819706e-01 1.0716496777800770e+00
1.9265620278038797e+14 7.0803774460306523e-01 1.0722046785595281e+00
1.9287530812879784e+14 7.0690180628696386e-01 1.0726743429297159e+00
1.9309441347720772e+14 7.0584871239929736e-01 1.0730624999840694e+00
1.9331351882561756e+14 7.0487612752375672e-01 1.0733469430495850e+00
1.9353262417402744e+14 7.0399850026840816e-01 1.0735131452734981e+00
1.9373235434948506e+14 7.0328559633479781e-01 1.0735684253902467e+00
1.9375172952243731e+14 7.0322052505739840e-01 1.0735688887764909e+00
1.9377110469538956e+14 7.0315613612009431e-01 1.0735684253902464e+00
1.9397083487084716e+14 7.0253162658996515e-01 1.0735036911721847e+00
1.9418994021925703e+14 7.0193592199955834e-01 1.0732876403290192e+00
