;thickness(m) = 2.2e-07
mode 0 = TE
mode 1 = TM
;wavelength(m), width(m), curvature(1/m), temperature(K), mode number, neff, ng, loss (dB/m), dispersion(s/m^2)
1.285e-06, 6e-07, 0, 250, 0, 2.81421, 4.0992, 118.271, -0.00160324
1.31e-06, 6e-07, 0, 250, 0, 2.78932, 4.08808, 120.179, -0.00136556
1.335e-06, 6e-07, 0, 250, 0, 2.76462, 4.07864, 122.086, -0.00115783
1.36e-06, 6e-07, 0, 250, 0, 2.74009, 4.07065, 123.994, -0.00097583
1.53e-06, 6.5e-07, 0, 250, 0, 2.61521, 3.99542, 136.11, -0.000399235
1.53875e-06, 6.5e-07, 0, 250, 0, 2.60732, 3.9944, 136.773, -0.000375496
1.5475e-06, 6.5e-07, 0, 250, 0, 2.59944, 3.99345, 137.437, -0.000352973
1.55625e-06, 6.5e-07, 0, 250, 0, 2.59156, 3.99255, 138.1, -0.000331653
1.565e-06, 6.5e-07, 0, 250, 0, 2.58368, 3.9917, 138.764, -0.000311515
1.26e-06, 6.5e-07, 0, 250, 0, 2.86478, 4.07981, 115.636, -0.00205893
1.285e-06, 6.5e-07, 0, 250, 0, 2.84082, 4.0654, 117.532, -0.0017894
1.31e-06, 6.5e-07, 0, 250, 0, 2.81712, 4.05289, 119.428, -0.00155451
1.335e-06, 6.5e-07, 0, 250, 0, 2.79364, 4.04202, 121.323, -0.001349
1.36e-06, 6.5e-07, 0, 250, 0, 2.77035, 4.03259, 123.219, -0.00116858
1.53e-06, 8.5e-07, 0, 250, 0, 2.71122, 3.87773, 132.686, -0.00090955
1.53875e-06, 8.5e-07, 0, 250, 0, 2.70456, 3.87538, 133.332, -0.000884851
1.5475e-06, 8.5e-07, 0, 250, 0, 2.6979, 3.87309, 133.979, -0.000861114
1.55625e-06, 8.5e-07, 0, 250, 0, 2.69127, 3.87086, 134.626, -0.000838294
1.565e-06, 8.5e-07, 0, 250, 0, 2.68464, 3.86869, 135.273, -0.000816377
1.26e-06, 8.5e-07, 0, 250, 0, 2.9269, 4.00193, 112.727, -0.00250932
1.285e-06, 8.5e-07, 0, 250, 0, 2.90574, 3.98411, 114.575, -0.00225028
1.31e-06, 8.5e-07, 0, 250, 0, 2.88492, 3.9681, 116.423, -0.00202518
1.335e-06, 8.5e-07, 0, 250, 0, 2.86439, 3.95367, 118.271, -0.00182868
1.36e-06, 8.5e-07, 0, 250, 0, 2.84412, 3.94062, 120.119, -0.0016564
1.53e-06, 1e-06, 0, 250, 0, 2.74927, 3.83058, 130.117, -0.00113094
1.53875e-06, 1e-06, 0, 250, 0, 2.7431, 3.82764, 130.752, -0.00110708
1.5475e-06, 1e-06, 0, 250, 0, 2.73694, 3.82476, 131.386, -0.00108412
1.55625e-06, 1e-06, 0, 250, 0, 2.73079, 3.82195, 132.02, -0.00106203
1.565e-06, 1e-06, 0, 250, 0, 2.72467, 3.81919, 132.655, -0.0010408
1.26e-06, 1e-06, 0, 250, 0, 2.9515, 3.97117, 110.545, -0.00268902
1.285e-06, 1e-06, 0, 250, 0, 2.93146, 3.95199, 112.358, -0.00243478
1.31e-06, 1e-06, 0, 250, 0, 2.91178, 3.93458, 114.17, -0.00221434
1.335e-06, 1e-06, 0, 250, 0, 2.89241, 3.91872, 115.982, -0.00202235
1.36e-06, 1e-06, 0, 250, 0, 2.87333, 3.9042, 117.794, -0.00185441
1.53e-06, 1.5e-06, 0, 250, 0, 2.80411, 3.76192, 121.557, -0.0014626
1.53875e-06, 1.5e-06, 0, 250, 0, 2.79864, 3.75811, 122.15, -0.00144064
1.5475e-06, 1.5e-06, 0, 250, 0, 2.7932, 3.75436, 122.742, -0.00141955
1.55625e-06, 1.5e-06, 0, 250, 0, 2.78777, 3.75066, 123.335, -0.0013993
1.565e-06, 1.5e-06, 0, 250, 0, 2.78237, 3.74702, 123.927, -0.00137987
1.26e-06, 1.5e-06, 0, 250, 0, 2.74802, 4.25457, 103.273, -0.000763719
1.285e-06, 1.5e-06, 0, 250, 0, 2.71818, 4.25012, 104.966, -0.000429047
1.31e-06, 1.5e-06, 0, 250, 0, 2.6884, 4.24805, 106.659, -0.000126827
1.335e-06, 1.5e-06, 0, 250, 0, 2.83267, 3.9998, 108.352, -0.00151573
1.36e-06, 1.5e-06, 0, 250, 0, 2.81091, 3.98915, 110.045, -0.00132968
1.53e-06, 2e-06, 0, 250, 0, 2.82346, 3.73754, 112.997, -0.00158286
1.53875e-06, 2e-06, 0, 250, 0, 2.81825, 3.73341, 113.548, -0.00156173
1.5475e-06, 2e-06, 0, 250, 0, 2.81305, 3.72934, 114.098, -0.00154148
1.55625e-06, 2e-06, 0, 250, 0, 2.80788, 3.72532, 114.649, -0.00152205
1.565e-06, 2e-06, 0, 250, 0, 2.80274, 3.72135, 115.2, -0.00150344
1.26e-06, 2e-06, 0, 250, 0, 2.58356, 4.51634, 96, 0.00137964
1.285e-06, 2e-06, 0, 250, 0, 2.5451, 4.52842, 97.5738, 0.00183998
1.31e-06, 2e-06, 0, 250, 0, 2.6861, 4.25596, 99.1475, -1.87094e-05
1.335e-06, 2e-06, 0, 250, 0, 2.65613, 4.25691, 100.721, 0.000268535
1.36e-06, 2e-06, 0, 250, 0, 2.77175, 4.04533, 102.295, -0.000954225
1.53e-06, 3.5e-07, 100000, 250, 0, 2.07285, 4.4108, 149.721, -0.00432671
