.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.499019100553446e-06,0.001499780127078894,0.001158530262232727,2048.976135595941,2.37839531262094e-11,42045155180.61722,0.001152258189502739,54.44720163209692,-54.44720163209692
1.499038201595904e-06,0.001795759634393012,0.0005107057067165976,2048.595489990523,2.37839531262094e-11,42045155180.61722,0.001152258189502739,54.5772581926776,-54.5772581926776
1.499057303125152e-06,0.001828423251017387,-0.0001906933189492687,2048.214491973516,2.380588577602643e-11,42006418471.81522,0.001144170595270151,54.71148124071155,-54.71148124071155
1.49907640514121e-06,0.001600516117423875,-0.0008439885570435735,2047.833144009547,2.382691762420304e-11,41969339709.48112,0.001057885838189127,54.8492549988119,-54.8492549988119
1.499095507644096e-06,0.001152154421005263,-0.001357222424692493,2047.451472480743,2.384529734614611e-11,41936990152.97121,0.0008664426491956387,54.99007528376676,-54.99007528376676
1.499114610633829e-06,0.0005540516997125397,-0.001661205018296624,2047.069535935139,2.385911835161433e-11,41912697077.18848,0.0005805601976138729,55.13346352722313,-55.13346352722313
1.499133714110427e-06,-0.0001035939803088106,-0.001718979842454229,2046.687421810412,2.386688768993791e-11,41899053324.0575,0.000232839458421829,55.27883998514135,-55.27883998514135
1.499152818073909e-06,-0.0007248736027521748,-0.001530276349070077,2046.305236463991,2.386783587627628e-11,41897388819.98774,-0.0001335688605053679,55.42543913803885,-55.42543913803885
1.499171922524295e-06,-0.001222400899719581,-0.001130307314707732,2045.923091975091,2.386198105080806e-11,41907668850.74432,-0.0004793546476806479,55.57228930331188,-55.57228930331188
1.4991910274616e-06,-0.001529718374700895,-0.0005832713620266757,2045.54109412023,2.384994047234115e-11,41928825824.94087,-0.0007811092355147107,55.71825701934121,-55.71825701934121
1.499210132885847e-06,-0.001610003494689007,2.814939178577605e-05,2045.159335211883,2.383257600404565e-11,41959375261.41727,-0.001036640212270966,55.86213622407774,-55.86213622407774
1.499229238797051e-06,-0.00145998430762726,0.0006154206538994364,2044.777893426758,2.38106121578987e-11,41998080241.22008,-0.001262524523764826,56.00274934491223,-56.00274934491223
1.499248345195233e-06,-0.001108853523852646,0.001096901408159744,2044.396837875975,2.378435756593487e-11,42044440226.22033,-0.001485723946557797,56.13902726464393,-56.13902726464393
1.49926745208041e-06,-0.0006127179774752627,0.001408910908779027,2044.016236852788,2.375360984738957e-11,42098864401.02055,-0.001732769091891586,56.27004593116264,-56.27004593116264
1.499286559452602e-06,-4.564527009877395e-05,0.001513742327348392,2043.636165949242,2.371775487819221e-11,42162506743.81795,-0.00202022570355943,56.39501383483955,-56.39501383483955
1.499305667311826e-06,0.0005113043953038069,0.001403739405962053,2043.256713124947,2.367600985222835e-11,42236846759.28962,-0.00234917909645982,56.51322056289045,-56.51322056289045
1.499324775658102e-06,0.0009815005788192256,0.001101080336584487,2042.87797904008,2.362772246191742e-11,42323165155.32867,-0.002704879093333084,56.62396737788902,-56.62396737788902
