.HEADER
..NAMES
wavelength,transmission,transmission,angle,group delay,group velocity,dispersion,loss,gain
..UNITS
m,TE transmission,TE transmission,TE angle (rad),TE group delay (s),TE group velocity (m/s),TE dispersion (s/m),TE loss (dB),TE gain (dB)
..DATATYPES
double,complex,complex,double,double,double,double,double,double
..WAVEFORM_TYPES
,analog,analog,analog,analog,analog,analog,analog,analog
..AXIS_SPACING
linear
..FOLDER_NAME
input_1_mode_1
.DATA
1.499019100553446e-06,-0.001741783319201522,0.0007380676739950066,2082.475124251185,2.424267706976524e-11,41249569802.96417,0.004417558557314676,54.46292543579362,-54.46292543579362
1.499038201595904e-06,-0.001317536218803577,0.001325195245671655,2082.087633026765,2.424267706976524e-11,41249569802.96417,0.004417558557314676,54.56920276995146,-54.56920276995146
1.499057303125152e-06,-0.0007076665634651382,0.001703836559118087,2081.698790717281,2.43201172886087e-11,41118222750.85779,0.003690724950893913,54.68029460839857,-54.68029460839857
1.49907640514121e-06,-6.709674120370108e-06,0.001820014214974665,2081.308819591874,2.438163464335645e-11,41014477274.70076,0.002750215002336053,54.79844537525048,-54.79844537525048
1.499095507644096e-06,0.0006772392170363803,0.001661125807311924,2080.918007286038,2.442779361073667e-11,40936975968.24598,0.002082559939424577,54.92415052748139,-54.92415052748139
1.499114610633829e-06,0.001240677932000897,0.001257725182237371,2080.526557992434,2.446444946884304e-11,40875638802.89072,0.00175515326316668,55.05684751615134,-55.05684751615134
1.499133714110427e-06,0.001601150365605697,0.0006773994007381347,2080.1345718405,2.449424679964499e-11,40825913455.50146,0.001364423239613983,55.1962615537607,-55.1962615537607
1.499152818073909e-06,0.001709311731029209,1.338701839586388e-05,2079.742168334329,2.451054655722246e-11,40798763816.44099,0.0003420165828889504,55.34330815921352,-55.34330815921352
1.499171922524295e-06,0.001556175726105763,-0.0006300106091473007,2079.349660208342,2.449877571113677e-11,40818366264.13194,-0.001574254368723897,55.49967128956821,-55.49967128956821
1.4991910274616e-06,0.001174689607439468,-0.001154437033623923,2078.95763364497,2.444523833814256e-11,40907762328.48887,-0.00403027321012478,55.66610954337396,-55.66610954337396
1.499210132885847e-06,0.000633524335813174,-0.001484748054697988,2078.566839968994,2.4347891360016e-11,41071318465.0641,-0.006160206474904921,55.84053942013082,-55.84053942013082
1.499229238797051e-06,2.276115680403667e-05,-0.001581576818892478,2078.177930789207,2.422139546809708e-11,41285812839.19574,-0.007081326830251507,56.01729479300077,-56.01729479300077
1.499248345195233e-06,-0.0005642308022251855,-0.001444627106107273,2077.79118794485,2.409217886331401e-11,41507246217.68165,-0.006444684828637118,56.18830049264172,-56.18830049264172
1.49926745208041e-06,-0.001046092714792646,-0.001106986253657864,2077.406416723223,2.398618994773431e-11,41690656255.91187,-0.00464965452965465,56.34562835454508,-56.34562835454508
1.499286559452602e-06,-0.00136233582377302,-0.0006253301401282673,2077.023068006881,2.391709951683285e-11,41811089981.7179,-0.002582180589294735,56.48397569090896,-56.48397569090896
1.499305667311826e-06,-0.001477135545622411,-7.060949212845064e-05,2076.640509297438,2.388228134791769e-11,41872046704.08049,-0.001062220761408035,56.60168072657476,-56.60168072657476
1.499324775658102e-06,-0.00138117236212514,0.000479992272574161,2076.258275578092,2.386863972140861e-11,41895977804.84597,-0.0003656067579603746,56.69986271123224,-56.69986271123224
